Author,Shayari,Tag
faiz ahmad faiz,"aur bhī dukh haiñ zamāne meñ mohabbat ke sivā 
rāhateñ aur bhī haiñ vasl kī rāhat ke sivā ",sher
faiz ahmad faiz,"kar rahā thā ġham-e-jahāñ kā hisāb 
aaj tum yaad be-hisāb aa.e ",sher
faiz ahmad faiz,"dil nā-umīd to nahīñ nākām hī to hai 
lambī hai ġham kī shaam magar shaam hī to hai",sher
faiz ahmad faiz,"aur kyā dekhne ko baaqī hai 
aap se dil lagā ke dekh liyā ",sher
faiz ahmad faiz,"donoñ jahān terī mohabbat meñ haar ke 
vo jā rahā hai koī shab-e-ġham guzār ke",sher
faiz ahmad faiz,"tumhārī yaad ke jab zaḳhm bharne lagte haiñ 
kisī bahāne tumheñ yaad karne lagte haiñ ",sher
faiz ahmad faiz,"nahīñ nigāh meñ manzil to justujū hī sahī 
nahīñ visāl mayassar to aarzū hī sahī ",sher
faiz ahmad faiz,"vo baat saare fasāne meñ jis kā zikr na thā 
vo baat un ko bahut nā-gavār guzrī hai ",sher
faiz ahmad faiz,"aa.e to yuuñ ki jaise hamesha the mehrbān 
bhūle to yuuñ ki goyā kabhī āshnā na the ",sher
faiz ahmad faiz,"guloñ meñ rañg bhare bād-e-nau-bahār chale 
chale bhī aao ki gulshan kā kārobār chale ",sher
faiz ahmad faiz,"ik tarz-e-taġhāful hai so vo un ko mubārak 
ik arz-e-tamannā hai so ham karte raheñge ",sher
faiz ahmad faiz,"zindagī kyā kisī muflis kī qabā hai jis meñ 
har ghaḌī dard ke paivand lage jaate haiñ ",sher
faiz ahmad faiz,"na jaane kis liye ummīd-vār baiThā huuñ 
ik aisī raah pe jo terī rahguzar bhī nahīñ ",sher
faiz ahmad faiz,"ham parvarish-e-lauh-o-qalam karte raheñge 
jo dil pe guzartī hai raqam karte raheñge ",sher
faiz ahmad faiz,"maqām 'faiz' koī raah meñ jachā hī nahīñ 
jo kū-e-yār se nikle to sū-e-dār chale ",sher
faiz ahmad faiz,"duniyā ne terī yaad se begāna kar diyā 
tujh se bhī dil-fareb haiñ ġham rozgār ke ",sher
faiz ahmad faiz,"'aap kī yaad aatī rahī raat bhar'' 
chāñdnī dil dukhātī rahī raat bhar ",sher
faiz ahmad faiz,"vo aa rahe haiñ vo aate haiñ aa rahe hoñge 
shab-e-firāq ye kah kar guzār dī ham ne ",sher
faiz ahmad faiz,"jāntā hai ki vo na ā.eñge 
phir bhī masrūf-e-intizār hai dil ",sher
